,age,work class,count in census,education,education number,marital status,occupation,relationship,race,sex,capital gain,capital loss,hours per week,native country
0,State-gov,300455.0,Some-college,13.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,United-States
1,Private,330179.0,10th,10.0,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0.0,0.0,40.0,United-States,Yes
2,Private,158900.0,HS-grad,10.0,Married-civ-spouse,?,Husband,White,Female,0.0,0.0,40.0,United-States,Female
3,Private,168758.0,HS-grad,13.0,Never-married,Exec-managerial,Husband,White,Male,0.0,0.0,20.0,United-States,United-States
4,Private,106803.0,Bachelors,12.0,Married-civ-spouse,?,Husband,White,Female,0.0,0.0,40.0,United-States,United-States
5,Private,103148.0,Bachelors,13.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,Canada
6,Private,245712.0,HS-grad,13.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,Canada
7,Private,244892.0,HS-grad,10.0,Never-married,Sales,Husband,White,Male,3965.0,0.0,50.0,United-States,Canada
8,Private,104684.0,HS-grad,10.0,Married-civ-spouse,Sales,Husband,White,Female,0.0,0.0,25.0,United-States,1
9,Private,122033.0,Some-college,13.0,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,34.0,United-States,Other
10,Private,31849.0,HS-grad,10.0,Married-civ-spouse,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,Yes
11,Private,164702.0,Some-college,10.0,Married-civ-spouse,Sales,Unmarried,White,Male,0.0,0.0,40.0,United-States,Canada
12,Private,194376.0,Some-college,11.0,Never-married,?,Own-child,White,Male,0.0,0.0,40.0,United-States,United-States
13,Private,396818.0,Bachelors,10.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,United-States
14,Private,391077.0,HS-grad,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,Canada
15,Private,181877.0,HS-grad,10.0,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,0.0,0.0,40.0,United-States,Canada
