age,hours-per-week,capital-gain,capital-loss,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
19,39,0,1140,Private,11th,Widowed,Other-service,Own-child,White,Male,United-States,<=50K
28,19,27514,0,Private,5th-6th,Never-married,Handlers-cleaners,Other-relative,White,Female,United-States,<=50K
26,39,0,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
25,39,46050,0,Private,HS-grad,Separated,Sales,Not-in-family,White,Female,United-States,<=50K
32,39,0,0,Without-pay,HS-grad,Divorced,Transport-moving,Not-in-family,Other,Male,United-States,<=50K
43,39,0,0,Private,Some-college,Never-married,Farming-fishing,Other-relative,White,Male,United-States,<=50K
19,4,0,0,Private,HS-grad,Never-married,Handlers-cleaners,,White,Male,United-States,<=50K
46,39,0,0,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,Canada,>50K
48,34,0,2060,Self-emp-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
47,19,64550,0,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Female,,<=50K
26,79,0,0,Private,Bachelors,Divorced,Prof-specialty,Own-child,White,Male,Guatemala,>50K
28,39,18514,0,Private,Bachelors,Never-married,Exec-managerial,Husband,White,Female,?,<=50K
25,36,7250,1860,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,United-States,<=50K
31,39,56650,0,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
52,59,0,0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,United-States,>50K
17,79,30350,0,Private,Some-college,Married-civ-spouse,Exec-managerial,Own-child,White,Male,United-States,>50K
17,39,30350,0,Private,Some-college,Divorced,Sales,Own-child,Amer-Indian-Eskimo,Male,United-States,<=50K
47,44,0,2020,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,Columbia,<=50K
34,39,0,0,?,9th,Divorced,Other-service,Wife,White,Female,United-States,<=50K
43,39,0,0,Private,Masters,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,United-States,>50K
34,49,23614,1900,Private,11th,Divorced,Other-service,Not-in-family,White,Male,Laos,<=50K
37,99,24214,0,Private,Some-college,Widowed,Adm-clerical,Husband,White,Male,United-States,<=50K
46,9,0,0,Local-gov,Assoc-acdm,Never-married,Adm-clerical,Unmarried,White,Male,United-States,<=50K
19,39,0,1140,Private,11th,Widowed,Other-service,Other-relative,White,Male,United-States,<=50K
25,39,28950,0,Private,Some-college,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Female,United-States,<=50K
28,74,41750,1580,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,Mexico,<=50K
59,44,0,0,Private,HS-grad,Never-married,Machine-op-inspct,Husband,White,Female,United-States,<=50K
41,39,17914,0,Private,Assoc-acdm,Never-married,Prof-specialty,Wife,White,Female,United-States,<=50K
55,64,20150,0,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
34,49,8614,0,Self-emp-not-inc,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
73,19,0,0,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Own-child,White,Male,United-States,>50K
41,47,50250,1660,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Japan,>50K
39,44,21350,0,Private,Bachelors,Divorced,Protective-serv,Husband,White,Female,United-States,>50K
29,39,0,0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
64,39,22950,0,Local-gov,HS-grad,Never-married,Adm-clerical,Unmarried,White,Male,United-States,<=50K
53,39,8714,0,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
24,49,0,0,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
16,39,3214,0,Never-worked,Assoc-voc,Married-AF-spouse,Priv-house-serv,Own-child,White,Female,United-States,<=50K
21,49,0,1140,Private,11th,Widowed,Sales,Not-in-family,White,Male,United-States,<=50K
23,36,58250,0,Federal-gov,HS-grad,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
37,39,64150,0,Private,Some-college,Never-married,Sales,Husband,Black,Male,United-States,>50K
26,11,0,0,Private,Masters,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
58,59,0,0,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
46,35,45550,0,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
26,49,35650,0,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Black,Male,United-States,>50K
39,49,24150,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
31,69,714,0,Private,HS-grad,Widowed,Other-service,Not-in-family,White,Male,United-States,<=50K
39,39,31450,0,Private,Assoc-voc,Separated,Priv-house-serv,Not-in-family,White,Male,Taiwan,<=50K
56,34,0,0,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,Female,United-States,<=50K
43,39,63350,0,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,Cuba,<=50K
48,49,31050,0,Local-gov,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
25,1,43550,0,Private,HS-grad,Married-spouse-absent,Craft-repair,Husband,White,Male,United-States,<=50K
49,39,3350,0,State-gov,Some-college,Married-civ-spouse,Tech-support,Own-child,White,Male,United-States,<=50K
27,41,32850,0,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,Taiwan,>50K
70,39,0,0,Private,Bachelors,Divorced,Adm-clerical,Own-child,White,Female,United-States,<=50K
31,39,0,0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,United-States,<=50K
46,39,29014,0,Private,Assoc-voc,Married-civ-spouse,Other-service,Unmarried,White,Male,Haiti,<=50K
49,47,0,0,Private,1st-4th,Married-civ-spouse,Priv-house-serv,Unmarried,White,Female,United-States,<=50K
17,59,0,0,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,United-States,<=50K
36,39,13950,3820,Private,Bachelors,Divorced,Sales,Own-child,White,Female,Peru,>50K
23,39,43550,0,Private,12th,Married-spouse-absent,Transport-moving,Husband,Amer-Indian-Eskimo,Male,United-States,<=50K
50,59,450,0,Private,Bachelors,Married-civ-spouse,Sales,Not-in-family,White,Female,United-States,>50K
48,39,0,0,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,United-States,>50K
62,39,0,0,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Husband,White,Male,United-States,<=50K
48,14,16350,4140,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Husband,White,Male,England,<=50K
30,39,0,0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,United-States,>50K
33,44,30150,1980,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,France,>50K
38,39,0,0,Private,Some-college,Never-married,,Not-in-family,White,Male,United-States,>50K
30,59,0,0,Without-pay,5th-6th,Married-civ-spouse,Armed-Forces,Husband,White,Male,United-States,>50K
23,39,0,0,Local-gov,Bachelors,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,United-States,>50K
57,9,5150,0,Private,HS-grad,Never-married,Adm-clerical,Wife,White,Male,Germany,<=50K
40,39,6314,0,Private,Assoc-voc,Separated,Priv-house-serv,Not-in-family,White,Male,Taiwan,<=50K
26,39,0,0,?,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
32,39,0,0,Private,7th-8th,Separated,Machine-op-inspct,Husband,Other,Male,United-States,<=50K
51,39,1650,0,Private,9th,Never-married,Adm-clerical,Not-in-family,Black,Male,United-States,<=50K
22,43,0,0,Private,HS-grad,Widowed,Other-service,Not-in-family,White,Male,United-States,<=50K
26,39,0,0,Private,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
23,39,0,0,Private,Some-college,Never-married,Other-service,Not-in-family,Black,Male,United-States,<=50K
28,41,0,0,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
32,19,29650,4180,Private,Bachelors,Widowed,Adm-clerical,Husband,White,Female,Japan,<=50K
22,14,16714,0,Local-gov,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
55,49,0,0,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
37,99,24214,0,Private,Some-college,Widowed,Adm-clerical,Husband,White,Male,United-States,<=50K
32,49,17850,0,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,Yugoslavia,<=50K
53,54,0,0,Private,Some-college,Never-married,Other-service,Other-relative,White,Female,United-States,<=50K
43,39,16714,0,Private,Bachelors,Widowed,Exec-managerial,Husband,White,Male,Scotland,<=50K
58,29,39350,2260,Private,HS-grad,Divorced,Exec-managerial,Husband,White,Female,Mexico,>50K
46,24,24814,0,Private,Prof-school,Separated,Prof-specialty,Not-in-family,White,Male,United-States,>50K
46,39,0,0,?,Assoc-acdm,Widowed,?,Unmarried,White,Female,Germany,<=50K
43,64,14414,0,Private,Some-college,Widowed,Exec-managerial,Husband,White,Male,?,>50K
41,28,7250,0,Federal-gov,HS-grad,Never-married,Adm-clerical,Unmarried,White,Male,United-States,<=50K
43,51,34250,0,Federal-gov,HS-grad,Divorced,Other-service,Unmarried,White,Male,United-States,<=50K
39,49,0,0,Private,HS-grad,Never-married,Craft-repair,Husband,White,Male,United-States,<=50K
27,39,0,0,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
39,34,4714,0,Private,HS-grad,Married-spouse-absent,Craft-repair,Husband,White,Male,United-States,<=50K
51,49,12314,0,Private,HS-grad,Married-spouse-absent,Transport-moving,Husband,White,Male,United-States,<=50K
50,39,18514,0,Private,Prof-school,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,?,>50K
23,19,3050,2820,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,South,<=50K
38,59,11114,0,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,United-States,<=50K
43,39,30150,0,Federal-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
30,49,0,0,Private,Doctorate,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,United-States,>50K
34,49,0,0,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,United-States,<=50K
34,59,4250,0,Without-pay,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
55,39,0,0,Private,Some-college,Never-married,Exec-managerial,Husband,White,Male,United-States,>50K
65,39,24050,0,State-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
50,39,0,0,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
38,49,15050,0,Private,Some-college,Married-spouse-absent,Prof-specialty,Husband,White,Male,United-States,<=50K
42,29,0,0,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,United-States,>50K
18,14,0,1260,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Female,South,<=50K
27,42,0,0,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States,<=50K
50,39,14714,0,Private,Assoc-acdm,Never-married,Sales,Husband,Black,Male,United-States,<=50K
43,34,30150,0,Federal-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
50,29,0,0,Private,Bachelors,Never-married,Sales,Husband,White,Female,Canada,>50K
26,39,0,0,,HS-grad,Never-married,Exec-managerial,Husband,White,Male,United-States,<=50K
28,39,0,0,Private,HS-grad,Widowed,Craft-repair,Husband,White,Male,United-States,<=50K
56,39,0,0,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,United-States,>50K
41,39,0,0,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
61,39,40850,1860,Private,HS-grad,Never-married,Other-service,Wife,White,Female,United-States,<=50K
48,39,22214,0,Local-gov,HS-grad,Married-civ-spouse,,Not-in-family,White,Male,United-States,<=50K
32,77,8614,0,Private,HS-grad,Separated,Exec-managerial,Husband,White,Male,United-States,>50K
32,39,26014,0,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Other,Male,United-States,>50K
42,44,1850,0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
30,39,0,0,Private,Some-college,Divorced,Other-service,Not-in-family,White,Female,United-States,<=50K
19,39,714,0,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
26,54,0,0,Private,HS-grad,Divorced,Adm-clerical,Husband,White,Female,United-States,<=50K
28,49,0,0,State-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,>50K
45,30,6014,0,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Female,United-States,>50K
56,30,0,0,Private,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,United-States,>50K
34,69,10114,0,Private,Bachelors,Divorced,Prof-specialty,Husband,White,Male,Guatemala,>50K
50,39,0,0,Private,Some-college,Divorced,Transport-moving,Husband,White,Male,United-States,>50K
21,39,0,1140,Private,11th,Married-AF-spouse,Transport-moving,Own-child,Asian-Pac-Islander,Female,United-States,<=50K
29,39,0,0,Private,Some-college,Married-civ-spouse,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
29,48,26250,0,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
51,49,0,0,Private,9th,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,<=50K
50,39,12150,0,Private,HS-grad,Married-civ-spouse,Transport-moving,Not-in-family,Asian-Pac-Islander,Female,United-States,<=50K
25,39,0,0,Private,11th,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,United-States,<=50K
28,54,31450,0,Private,Masters,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,Taiwan,>50K
36,3,39650,0,Private,Bachelors,Separated,Prof-specialty,Husband,White,Male,Holand-Netherlands,>50K
39,29,0,0,State-gov,Some-college,Never-married,Prof-specialty,Husband,White,Male,United-States,<=50K
32,39,18414,0,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,United-States,<=50K
53,39,0,0,Private,Some-college,Never-married,Farming-fishing,Husband,White,Male,United-States,>50K
66,43,0,0,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Husband,White,Male,United-States,>50K
62,39,11314,0,Private,Some-college,Never-married,Adm-clerical,,White,Female,Cuba,<=50K
27,39,0,0,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Female,United-States,<=50K
