age,hours-per-week,capital-gain,capital-loss,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
19,51,0,0,Private,11th,Widowed,Other-service,Other-relative,White,Male,United-States,<=50K
56,49,0,0,?,11th,Divorced,?,Wife,White,Female,United-States,<=50K
35,39,0,0,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,Black,Male,United-States,<=50K
54,49,0,0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
46,39,64350,0,Private,10th,Never-married,Other-service,Unmarried,White,Male,United-States,<=50K
32,39,0,0,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Not-in-family,White,Male,United-States,<=50K
43,49,0,0,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
51,49,0,0,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Female,United-States,>50K
44,39,0,0,Federal-gov,9th,Never-married,Farming-fishing,Husband,Asian-Pac-Islander,Male,United-States,<=50K
40,39,0,0,Private,9th,Married-civ-spouse,Transport-moving,Husband,Other,Male,United-States,<=50K
72,39,57050,0,Private,HS-grad,Married-civ-spouse,Transport-moving,Other-relative,White,Male,United-States,>50K
73,39,0,0,,HS-grad,Never-married,,Husband,White,Male,United-States,<=50K
61,59,0,0,Private,HS-grad,Never-married,Sales,Husband,White,Female,United-States,<=50K
56,39,0,0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
58,39,0,0,Local-gov,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,Black,Male,United-States,<=50K
17,39,0,0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Sales,Own-child,White,Male,United-States,<=50K
35,54,0,0,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Female,United-States,>50K
49,39,0,0,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,United-States,>50K
75,17,0,0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
44,44,0,0,Private,HS-grad,Never-married,Transport-moving,Husband,White,Female,United-States,<=50K
34,39,0,0,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Female,United-States,>50K
47,23,0,0,Private,HS-grad,Never-married,Exec-managerial,Wife,White,Female,United-States,<=50K
30,49,0,0,State-gov,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
29,39,0,0,Private,Some-college,Never-married,Other-service,Not-in-family,Black,Male,United-States,<=50K
25,39,0,0,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
48,39,0,0,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,Black,Male,United-States,<=50K
32,39,2550,0,Federal-gov,Bachelors,Divorced,Tech-support,Not-in-family,White,Female,United-States,<=50K
38,47,53250,0,Private,Assoc-voc,Never-married,Other-service,Unmarried,White,Male,Canada,<=50K
29,34,0,0,Private,Assoc-voc,Never-married,Craft-repair,Husband,White,Female,United-States,>50K
