age,hours-per-week,capital-gain,capital-loss,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
24,19,10914,100,Private,Doctorate,Never-married,Prof-specialty,Not-in-family,Black,Male,United-States,<=50K
63,39,0,0,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Male,Italy,<=50K
46,24,0,3980,Federal-gov,Masters,Married-civ-spouse,Other-service,Unmarried,White,Female,United-States,<=50K
70,39,0,1540,Private,Some-college,Never-married,Handlers-cleaners,Husband,White,Male,United-States,<=50K
35,39,0,3460,Private,HS-grad,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,Columbia,>50K
24,83,0,1940,Private,Bachelors,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,United-States,<=50K
42,36,0,3300,Self-emp-inc,Masters,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,?,<=50K
66,39,7650,2300,Federal-gov,Some-college,Never-married,Prof-specialty,Husband,White,Male,United-States,<=50K
30,64,40150,540,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
17,39,0,0,Self-emp-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Female,Mexico,<=50K
32,39,0,4020,Private,10th,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
59,39,0,1860,Private,HS-grad,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,United-States,>50K
27,39,0,220,Local-gov,HS-grad,Separated,Adm-clerical,Wife,Black,Female,Jamaica,<=50K
27,34,0,4140,Federal-gov,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
55,36,0,3660,Private,HS-grad,Separated,Exec-managerial,Husband,White,Male,United-States,>50K
60,39,0,60,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Female,United-States,<=50K
17,19,0,1100,Private,Some-college,Never-married,Sales,Own-child,White,Female,Cambodia,>50K
27,19,0,3140,Private,Some-college,Never-married,Sales,Wife,White,Female,United-States,<=50K
44,34,6750,1260,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K
32,49,0,500,Private,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,United-States,<=50K
28,54,0,3660,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,United-States,<=50K
49,39,0,3940,Private,Some-college,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,United-States,<=50K
46,59,0,3980,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Female,United-States,<=50K
28,39,0,1940,Private,Some-college,Never-married,Sales,Not-in-family,Black,Male,United-States,<=50K
62,47,0,1940,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
27,39,0,4100,Private,11th,Never-married,Sales,Not-in-family,Black,Male,United-States,<=50K
25,39,0,2820,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Female,United-States,<=50K
19,24,7650,3140,?,11th,Never-married,?,Husband,White,Male,United-States,<=50K
50,34,0,1860,Private,HS-grad,Never-married,Prof-specialty,Unmarried,White,Female,United-States,>50K
32,54,0,1540,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,United-States,<=50K
31,49,0,1580,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
52,39,0,1540,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Black,Male,United-States,>50K
28,39,0,1940,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Male,United-States,<=50K
51,44,33350,1940,?,Some-college,Married-civ-spouse,?,Husband,White,Male,United-States,<=50K
